location,reviewer_name,is_local_guide,contributor_info,rating,time,text,likes,has_photo,owner_response,semi_clean_text,final_text,wordcloud_text,sentiment,aspects
Batam Centre Ferry Terminal,Admin,True,Local Guide · 172 ulasan · 172 foto,1 bintang,3 tahun lalu,PERINGATAN: Bawalah bagasi Anda sendiri dari kapal kecuali Anda punya waktu luang 1 jam untuk menunggu. Kru darat tidak bisa diandalkan :(,3,False,,peringatan bawalah bagasi anda sendiri dari kapal kecuali anda punya waktu luang jam untuk menunggu kru darat tidak bisa diandalkan,ingat bawa sendiri punya luang tunggu kru darat andal,peringatan bawalah sendiri punya luang menunggu kru darat diandalkan,NEGATIF,['Harga']
Batam Centre Ferry Terminal,shahrul,True,Local Guide · 126 ulasan · 123 foto,3 bintang,setahun lalu,"Pemerintah Indonesia harus meningkatkan fasilitas dan proses imigrasi. Jika jumlah pengunjung lebih banyak pada akhir pekan dan hari libur, pemerintah harus mengambil tindakan.",0,False,,pemerintah indonesia harus meningkatkan fasilitas dan proses imigrasi jika jumlah pengunjung lebih banyak pada akhir pekan dan hari libur pemerintah harus mengambil tindakan,perintah tingkat fasilitas proses imigrasi jumlah unjung pekan libur perintah ambil tindak,pemerintah meningkatkan fasilitas proses imigrasi jumlah pengunjung pekan libur pemerintah mengambil tindakan,NETRAL,"['Fasilitas', 'Imigrasi']"
Batam Centre Ferry Terminal,Ahmad Shairazi,True,Local Guide · 117 ulasan · 51 foto,5 bintang,sebulan lalu,"Ini pertama kalinya saya ke sini... Pertama dan terpenting, pusat terminal ini jauh lebih terorganisir daripada Stulang Berjaya Waterfront, Johor Bharu. Terminal ini lebih mirip bandara dan saya suka suasananya. Bagus sekali Batam... teruskan kerja bagusnya...

Karena pengalaman buruk di Stulang Berjaya Waterfront, saya tidak akan pernah naik feri lagi. Bukan dari Malaysia. Tapi kembali dari Batam melalui terminal ini, itu bisa menjadi salah satu pilihan yang bagus...

Secara keseluruhan, saya bisa datang ke sini lagi...",0,False,,ini pertama kalinya saya ke sini pertama dan terpenting pusat terminal ini jauh lebih terorganisir daripada stulang berjaya waterfront johor bharu terminal ini lebih mirip bandara dan saya suka suasananya bagus sekali batam teruskan kerja bagusnya karena pengalaman buruk di stulang berjaya waterfront saya tidak akan pernah naik feri lagi bukan dari malaysia tapi kembali dari batam melalui terminal ini itu bisa menjadi salah satu pilihan yang bagus secara keseluruhan saya bisa datang ke sini lagi,pertama kali pertama penting pusat jauh organisir stulang jaya waterfront johor bharu mirip bandara suka suasana bagus terus bagus alam buruk stulang jaya waterfront lalu jadi pilih bagus seluruh,pertama kalinya pertama terpenting pusat jauh terorganisir stulang berjaya waterfront johor bharu mirip bandara suka suasananya bagus teruskan bagusnya pengalaman buruk stulang berjaya waterfront melalui menjadi pilihan bagus keseluruhan,POSITIF,['Umum/Lainnya']
Batam Centre Ferry Terminal,Dini Probojati,True,Local Guide · 463 ulasan · 1.793 foto,5 bintang,3 tahun lalu,"Pelabuhan terbaik, orang-orang terbaik, pemandangan terbaik!!!

Mantap!!! Ramah juga untuk penyandang disabilitas..dan tentu saja kapal feri terbaik!

Semoga Indonesia & Singapura selalu menyenangkan!

Dini Probojati",1,True,,pelabuhan terbaik orang orang terbaik pemandangan terbaik mantap ramah juga untuk penyandang disabilitas dan tentu saja kapal feri terbaik semoga indonesia singapura selalu menyenangkan dini probojati,baik baik pandang baik mantap ramah sandang disabilitas baik moga senang dini probojati,terbaik terbaik pemandangan terbaik mantap ramah penyandang disabilitas terbaik semoga menyenangkan dini probojati,POSITIF,['Pelayanan']
Batam Centre Ferry Terminal,Daniel Judah,True,Local Guide · 684 ulasan · 6.463 foto,3 bintang,2 tahun lalu,"Terminal feri yang bagus. Tempatnya tampak agak kuno, tetapi cukup memadai. Loket tiket feri berada di lantai dasar, sangat mudah diakses dari pintu masuk utama. Mereka memiliki beberapa tempat makan dan minimarket di lantai dua. Makanannya cukup enak. Proses imigrasi berjalan sangat baik untuk keberangkatan, meskipun kedatangan lebih lambat karena mereka belum memiliki gerbang otomatis.

Masalahnya adalah transportasi dimonopoli oleh taksi pelabuhan yang sangat mahal, sekitar dua kali lipat dibandingkan dengan aplikasi berbagi tumpangan. Aplikasi berbagi tumpangan tidak akan menjemput Anda di lobi karena monopoli tersebut, Anda harus berjalan keluar ke gerbang jika ingin menggunakan layanan tersebut - yang bisa menjadi masalah jika hujan. Alternatif lainnya adalah menyeberang jembatan penyeberangan ke mal dan menggunakan layanan berbagi tumpangan dari sana.",0,True,,terminal feri yang bagus tempatnya tampak agak kuno tetapi cukup memadai loket tiket feri berada di lantai dasar sangat mudah diakses dari pintu masuk utama mereka memiliki beberapa tempat makan dan minimarket di lantai dua makanannya cukup enak proses imigrasi berjalan sangat baik untuk keberangkatan meskipun kedatangan lebih lambat karena mereka belum memiliki gerbang otomatis masalahnya adalah transportasi dimonopoli oleh taksi pelabuhan yang sangat mahal sekitar dua kali lipat dibandingkan dengan aplikasi berbagi tumpangan aplikasi berbagi tumpangan tidak akan menjemput anda di lobi karena monopoli tersebut anda harus berjalan keluar ke gerbang jika ingin menggunakan layanan tersebut yang bisa menjadi masalah jika hujan alternatif lainnya adalah menyeberang jembatan penyeberangan ke mal dan menggunakan layanan berbagi tumpangan dari sana,bagus tampak kuno pada ada dasar mudah akses pintu utama milik makan minimarket makan enak proses imigrasi jalan baik berangkat datang lambat milik otomatis masalah transportasi monopoli mahal lipat banding aplikasi bagi tumpang aplikasi bagi tumpang jemput lobi monopoli sebut jalan guna layan sebut jadi masalah hujan alternatif lain seberang jembatan mal guna layan bagi tumpang,bagus tampak kuno memadai berada dasar mudah diakses pintu utama memiliki makan minimarket makanannya enak proses imigrasi berjalan baik keberangkatan kedatangan lambat memiliki otomatis masalahnya transportasi dimonopoli mahal lipat dibandingkan aplikasi berbagi tumpangan aplikasi berbagi tumpangan menjemput lobi monopoli tersebut berjalan menggunakan layanan tersebut menjadi masalah hujan alternatif lainnya menyeberang jembatan mal menggunakan layanan berbagi tumpangan,NETRAL,"['Fasilitas', 'Imigrasi', 'Akses', 'Harga']"
Batam Centre Ferry Terminal,woelly william,True,Local Guide · 1.939 ulasan · 3.651 foto,3 bintang,6 tahun lalu,"Area tunggu sangat kecil. Tempat parkir terbatas, sebagian besar tempat parkir diperuntukkan bagi VIP.",0,False,,area tunggu sangat kecil tempat parkir terbatas sebagian besar tempat parkir diperuntukkan bagi vip,kecil parkir batas bagi besar parkir untuk vip,kecil parkir terbatas sebagian besar parkir diperuntukkan vip,NETRAL,['Parkir']
Batam Centre Ferry Terminal,Ian Om,True,Local Guide · 93 ulasan · 353 foto,3 bintang,8 tahun lalu,Tolong bangun tempat parkir bertingkat atau pindah ke tempat yang lebih besar.,0,False,,tolong bangun tempat parkir bertingkat atau pindah ke tempat yang lebih besar,bangun parkir tingkat pindah besar,bangun parkir bertingkat pindah besar,NETRAL,['Parkir']
Batam Centre Ferry Terminal,Alwendy Gunawan (Wen),False,488 ulasan,5 bintang,2 tahun lalu,Infrastruktur dibangun dengan sangat baik.,0,False,,infrastruktur dibangun dengan sangat baik,infrastruktur bangun baik,infrastruktur dibangun baik,POSITIF,['Umum/Lainnya']
Batam Centre Ferry Terminal,Handoko Bachdims,True,Local Guide · 18 ulasan · 10 foto,2 bintang,3 tahun lalu,"Tempatnya bagus, tapi sopir taksinya buruk. Tidak sopan dan kasar.",6,False,,tempatnya bagus tapi sopir taksinya buruk tidak sopan dan kasar,bagus sopir taksi buruk sopan kasar,bagus sopir taksinya buruk sopan kasar,NEGATIF,['Pelayanan']
Batam Centre Ferry Terminal,Whoop & Ugo__,True,Local Guide · 496 ulasan · 876 foto,4 bintang,setahun lalu,Perlu perawatan lebih lanjut,0,True,,perlu perawatan lebih lanjut,awat lanjut,perawatan lanjut,POSITIF,['Umum/Lainnya']
