location,reviewer_name,is_local_guide,contributor_info,rating,time,text,likes,has_photo,owner_response
Harbour Bay Ferry Terminal,Yanto Overseas,True,Local Guide · 75 ulasan · 49 foto,4 bintang,7 tahun lalu,Pelabuhan laut yg nyaman dan mudah dijangkau,0,False,
Harbour Bay Ferry Terminal,Сзня,False,4 ulasan · 1 foto,4 bintang,3 tahun lalu,Baja,0,False,
Harbour Bay Ferry Terminal,Bryan Lee,True,Local Guide · 82 ulasan · 98 foto,5 bintang,7 tahun lalu,Tertata rapi. Stafnya sopan.,0,False,
Harbour Bay Ferry Terminal,Ahmad Zafrullah,True,Local Guide · 25 ulasan · 1 foto,5 bintang,8 tahun lalu,Terminal Feri,0,False,
Harbour Bay Ferry Terminal,Helena Lim,False,9 ulasan · 7 foto,5 bintang,9 bulan lalu,Semoga perjalanan Anda aman dan lancar!,0,False,
Harbour Bay Ferry Terminal,giovanni basanta,True,Local Guide · 733 ulasan · 2.318 foto,3 bintang,8 tahun lalu,Tempat pelabuhan ferry ke tanjung balai dan singapore serta malaysis.byk makanan di sini,0,True,
Harbour Bay Ferry Terminal,THOMSON TAN,True,Local Guide · 130 ulasan · 723 foto,3 bintang,7 tahun lalu,Betapa indahnya pemandangan matahari terbenam!,1,False,
Harbour Bay Ferry Terminal,Nieza Hussin,True,Local Guide · 41 ulasan · 103 foto,4 bintang,3 tahun lalu,Tidak ada lift untuk orang tua,1,False,
Harbour Bay Ferry Terminal,Wil,True,Local Guide · 121 ulasan · 444 foto,5 bintang,2 tahun lalu,"Imigrasi cukup efisien dan cepat. Titik penjemputan Grab agak jauh, terutama jika membawa koper. Saya sarankan belok kiri setelah keluar dari imigrasi dan bea cukai. Jalan kaki 30 detik dan Anda akan sampai di lobi basement hotel Marriott. Naik lift ke lantai 1, pesan Grab Anda, dan bersantai di ruangan ber-AC sambil menunggu penjemputan.",0,False,
Harbour Bay Ferry Terminal,Nando Lim,False,4 ulasan · 1 foto,3 bintang,sebulan lalu,"Toilet nya bau, semoga di mengerti lagi",0,False,
Harbour Bay Ferry Terminal,Kayathri,False,4 ulasan,5 bintang,2 tahun lalu,"Perjalanan yang tak terlupakan, sangat ampuh menghilangkan stres, dan Swiss Belhotel bagus.",0,False,
Harbour Bay Ferry Terminal,Mahadi Capah,True,Local Guide · 44 ulasan · 329 foto,4 bintang,3 tahun lalu,"Pelabuhan yang sangat baik, terintegrasi dengan pusat perbelanjaan dan restoran",0,False,
Harbour Bay Ferry Terminal,Mhd Syafrizal,True,Local Guide · 44 ulasan · 37 foto,5 bintang,4 tahun lalu,Oke,0,False,
Harbour Bay Ferry Terminal,K L CHUA,True,Local Guide · 8 ulasan · 50 foto,5 bintang,7 tahun lalu,"Tidak terlalu ramai. Saya sangat menyukai Roti'O di sana. Setelah keluar dari feri, ada banyak warung makan yang menjual berbagai macam makanan. Banyak hotel di dekatnya, banyak pilihan yang bisa dijangkau dengan berjalan kaki.",1,True,
Harbour Bay Ferry Terminal,Fredy Chandra,True,Local Guide · 42 ulasan · 9 foto,5 bintang,3 tahun lalu,Bagus,0,False,
