location,reviewer_name,is_local_guide,contributor_info,rating,time,text,likes,has_photo,owner_response
Batam Centre Ferry Terminal (A),Luna Arsad,True,Local Guide · 385 ulasan · 2.314 foto,5 bintang,4 tahun lalu,Kota yang indah,0,False,
Batam Centre Ferry Terminal (A),Hartono,True,Local Guide · 72 ulasan · 13 foto,5 bintang,4 tahun lalu,"Keren sih, tempat bersih, staffnya ramah, ke singapore cuma 30-45menitan pake kapal cepat.",0,False,
Batam Centre Ferry Terminal (A),MOHAMAD YEO MUHAMMAD YEO (MYYK),False,4 ulasan,5 bintang,setahun lalu,DARI: 🇮🇩{REPUBLIK INDONESIA PROPINSI KEPULAUAN RIAU{🇮🇩} DAN MOHAMAD YEO{🤵}. PELABUHAN BATAM INTERNASIONAL VERI ISTIMEWA. …,0,False,
Batam Centre Ferry Terminal (A),Muhammad fajri,True,Local Guide · 44 ulasan · 83 foto,5 bintang,setahun lalu,Pelabuhan Internasional Batam Center Kota Batam,0,True,
Batam Centre Ferry Terminal (A),Eng Hin,True,Local Guide · 343 ulasan · 126 foto,2 bintang,4 tahun lalu,"I have a harrowing experince. Just imagine when i dropped in to woodsland ,singapore i was duped by a taxi driver. I told the driver that i wanna catch a boat to batam. And the driver sent me to harbour point where the boat service is no longer active. Mean to say that the taxi drivers doesnt knows that the ferry service to batam had been moved to Tanah Merah? The next driver that i hailed is even ridiculous. Ferry terminal last ride is at 5pm. When i reach harbour point it was already 6pm. When i check with him that i was taken for a ride he told the white taxi cannot be trusted. Only the blue taxi is more honest. Now question is he also doesnt know that the last boat is at 5pm ah? Still sending me to the terminal. We reach there around 8pm! What a joke it is. So ,we have no choice but to take his cab back to Bedok which is the nearest as what he say.",4,False,
Batam Centre Ferry Terminal (A),blok II Korner,True,Local Guide · 160 ulasan · 228 foto,5 bintang,7 tahun lalu,shuttle bus tanah merah ke changi terminal 1dan 4,0,True,
Batam Centre Ferry Terminal (A),M. Afdal,True,Local Guide · 239 ulasan · 24 foto,5 bintang,8 tahun lalu,cukup representative sebagai pelabuhan internasional. ke Singapur dan Johor Baru Malaysia,1,False,
Batam Centre Ferry Terminal (A),han howkee,True,Local Guide · 66 ulasan · 4.546 foto,5 bintang,7 tahun lalu,KOPI TIAM affordable local food which eat like Singapore style but better tastes 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍 …,0,False,
Batam Centre Ferry Terminal (A),marjin B.L.T,False,1 ulasan,5 bintang,10 tahun lalu,pria baru,0,False,
Batam Centre Ferry Terminal (A),shoohibun najiib,True,Local Guide · 206 ulasan · 409 foto,5 bintang,4 tahun lalu,"Bagus, bersih. Tempat parkir mobilnya perlu ditambah lagi",0,False,
Batam Centre Ferry Terminal (A),Fa Ri,True,Local Guide · 11 ulasan · 134 foto,5 bintang,Diedit 7 tahun lalu,Baru pertama kali k sini...,1,True,
Batam Centre Ferry Terminal (A),Asad Saputra,True,Local Guide · 136 ulasan · 683 foto,5 bintang,7 tahun lalu,Bagus dan Rame,0,False,
Batam Centre Ferry Terminal (A),Addina Ainur Rosyida,True,Local Guide · 211 ulasan · 845 foto,4 bintang,7 tahun lalu,Terminal kapal Ferry dari dan ke Batam. Yang mau ke Singapore atau Malaysia bisa naik Ferry dari sini. Ada banyak pilihan jadwal penyeberangan dan kapal yang bisa dipilih.,1,True,
Batam Centre Ferry Terminal (A),Domu Marbun,True,Local Guide · 214 ulasan · 438 foto,2 bintang,3 tahun lalu,"Susah untuk Parkir mobil, pengelola harus pikirkan untuk penyediaannya. Tempat menunggu juga untuk yang menjemput belum ada pengaturan.",0,True,
Batam Centre Ferry Terminal (A),Saya Orang Kaya,True,Local Guide · 166 ulasan · 87 foto,5 bintang,6 tahun lalu,Tempat penyelamatan para TKI yang bekerja di Malaysia tanpa Visa,0,False,
Batam Centre Ferry Terminal (A),Ivar Nabilatul Akbar,True,Local Guide · 87 ulasan · 74 foto,5 bintang,9 tahun lalu,Sungguh menyenangkan bahwa berlibur ke Singapura tidak harus mahal.,1,False,
Batam Centre Ferry Terminal (A),witria cassiopeia,True,Local Guide · 190 ulasan · 834 foto,5 bintang,9 tahun lalu,"Cukup dengan menyebrang nelalu jembatan penyebrangan di dalam batam centre bisa terhubung dengan mall batam. Suasana ramai,  tapi tetap nyaman dan bersih. Harga tiket lbh murah jika beli pp di money changer atau bandara. Klau single journey lbh murah di bandara dr pada outlet resmi di batam centre na. Kmren naik majestic hrg skli jalan 250, brngkt tpt waktu n free air minum.",2,True,
Batam Centre Ferry Terminal (A),Wong PT Christopher,True,Local Guide · 192 ulasan · 8.987 foto,5 bintang,2 bulan lalu,Too smal and always crowned,0,False,
Batam Centre Ferry Terminal (A),Brian Park,True,Local Guide · 488 ulasan · 5.706 foto,3 bintang,6 tahun lalu,Terminal feri Gibbon untuk memasuki Batam,0,True,
Batam Centre Ferry Terminal (A),Faisol Amir,True,Local Guide · 11 ulasan · 28 foto,4 bintang,4 tahun lalu,Lumayan menarik,0,False,
Batam Centre Ferry Terminal (A),Yuda L,True,Local Guide · 13 ulasan · 1 foto,5 bintang,10 tahun lalu,Much cleaner since they renovated,0,False,
Batam Centre Ferry Terminal (A),Elias Yusoff,True,Local Guide · 402 ulasan · 74 foto,4 bintang,6 tahun lalu,"tempat yang ramai
terminal feri. naik feri ke Johor Baru",0,False,
Batam Centre Ferry Terminal (A),Mezz riyal,True,Local Guide · 20 ulasan · 86 foto,5 bintang,4 tahun lalu,Fery terminal yg super padat,1,False,
Batam Centre Ferry Terminal (A),Little RF Family,True,Local Guide · 634 ulasan · 1.573 foto,4 bintang,Diedit 6 tahun lalu,"Salah satu pelabuhan internasional paling ramai dan padat di batam, dari pelabuhan ini tujuan utamannya yaitu ke singapura dan malaysia..",0,False,
Batam Centre Ferry Terminal (A),Medan City,True,Local Guide · 386 ulasan · 292 foto,4 bintang,6 tahun lalu,Ok,0,True,
Batam Centre Ferry Terminal (A),Muhammad Hata Suleiman,True,Local Guide · 231 ulasan · 6.666 foto,5 bintang,seminggu lalu,Very friendly immigration staff.,0,False,
Batam Centre Ferry Terminal (A),Hdb Hdgd,False,1 ulasan,1 bintang,8 tahun lalu,Tapi calonya banyak,0,False,
Batam Centre Ferry Terminal (A),Susanto -,False,3 ulasan · 2 foto,1 bintang,setahun lalu,"Ke lantai 2 di persulit dan harus wajib boarding pass, padahal bisa ke mega mall",0,False,
Batam Centre Ferry Terminal (A),rutksk slamet rabuman. (Rutk),True,Local Guide · 124 ulasan · 7 foto,5 bintang,3 tahun lalu,"Bersih,nyaman...
Nb:jangan persulit pejuang rupiah...",0,False,
Batam Centre Ferry Terminal (A),Sanjay Sharma,True,Local Guide · 400 ulasan · 61 foto,3 bintang,3 minggu lalu,Ok.Network in Indonesia is very poor,0,False,
Batam Centre Ferry Terminal (A),Hasan Hanif,True,Local Guide · 105 ulasan · 71 foto,5 bintang,3 tahun lalu,Alhamdulillah fasilitas bagus,0,False,
Batam Centre Ferry Terminal (A),Atep Sodikin,True,Local Guide · 25 ulasan · 11 foto,5 bintang,3 tahun lalu,Pengalaman,0,False,
Batam Centre Ferry Terminal (A),The Mafiability,True,Local Guide · 25 ulasan · 253 foto,5 bintang,7 tahun lalu,Tempatnya nyaman dan enak. Ada mesin atm dan money changer. Ruang tunggu nyaman.,0,True,
Batam Centre Ferry Terminal (A),irfan community,False,1 ulasan,5 bintang,10 tahun lalu,membuatku bahagianya,0,False,
